,Tenure,Bandwidth_GB_Year,Fixes,Population
0,6.795512947,904.5361102,5,38
1,1.156680997,800.9827661,4,10446
2,15.75414408,2054.706961,4,3735
3,17.08722662,2164.579412,4,13863
4,1.670971726,271.4934362,4,11352
5,7.000993555,1039.357983,3,17701
6,13.23677381,1907.242972,5,2535
7,4.26425515,979.6127078,2,23144
8,8.220686373,1312.874964,4,17351
9,3.422086139,508.7637913,2,20193
10,19.26726194,2728.767869,4,555
11,10.52199781,1180.588788,4,33372
12,13.01149229,1196.388018,2,556
13,16.87922024,1948.694497,6,0
14,10.06019902,1582.295235,3,8165
15,13.87001293,1840.014467,3,2093
16,15.78214958,2070.376729,4,50079
17,2.303331273,882.0985933,2,7249
18,17.10995632,1833.0967,4,9463
19,12.80615845,1954.080809,5,3177
20,20.45390977,2330.319383,3,69
21,2.415991977,594.1054279,5,14440
22,6.652298992,713.0633088,3,381
23,8.543717478,945.3802928,4,2193
24,5.770390256,870.76398,3,9434
25,4.157658837,774.2937069,4,29568
26,10.40566091,1506.446527,3,3089
27,1.392421597,419.0508708,2,5652
28,1.430386349,1259.415493,4,1716
29,5.425864884,1745.125956,4,52484
30,11.08287797,1795.465729,2,11268
31,3.586184954,492.4771472,3,1765
32,4.727388465,1013.993166,4,680
33,20.89923386,2680.762173,5,136
34,3.471329958,1081.814362,5,1517
35,5.478588204,1209.961168,2,14103
36,3.312991809,897.5919144,3,6394
37,7.161561527,1340.930156,6,5059
38,9.847563364,1113.993679,4,20450
39,16.04202196,1530.10769,4,2123
40,9.179779682,1310.137419,2,1164
41,3.002844144,892.8964931,3,23
42,3.924254455,1125.581944,3,895
43,18.55959629,2016.710031,3,6699
44,8.798394712,1412.736809,4,35743
45,10.377366,1710.689671,3,320
46,22.25746016,2384.885909,4,7870
47,9.427146079,1213.940165,5,861
48,7.760290062,740.010722,4,15364
49,11.56938439,897.9716153,3,2589
50,3.343811019,1026.387172,2,4901
51,7.338869531,1234.244324,3,39649
52,5.486534225,727.3731845,4,456
53,1.55278221,452.8721504,4,94
54,12.07970325,1296.674543,2,315
55,13.98666226,1840.628269,4,4969
56,9.563362997,1324.330108,4,46869
57,6.732948946,958.1397059,5,58431
58,15.72071086,1868.864027,5,26182
59,7.233605493,676.712908,5,694
60,2.871017037,1086.990308,5,3093
61,2.344875382,704.7540406,4,2765
62,7.960490246,1416.444695,5,3757
63,12.25062113,1095.950634,5,4938
64,9.634946079,1083.610268,4,3761
65,7.916533093,1570.641337,4,1851
66,4.471254161,1007.425553,3,38476
67,10.79028074,1323.028419,4,13547
68,12.24190682,1808.730555,1,7801
69,2.203859443,1120.241472,4,17823
70,23.92132231,2676.789803,5,20269
71,3.7311787,1268.086909,3,30225
72,7.980015371,822.6771666,3,5760
73,9.190009376,1577.915603,3,61
74,2.378630018,648.7471776,4,34359
75,5.43464555,1648.102673,3,24693
76,1.092361222,768.0874545,1,4235
77,20.13981517,2426.030626,2,2193
78,24.64873861,2660.503932,4,273
79,9.677739656,1129.549713,4,14557
80,9.82814183,1771.286466,4,17653
81,7.832238337,943.3391244,3,285
82,19.45250317,1907.226083,4,320
83,14.34766616,1885.939118,4,2863
84,2.257358355,631.7435653,3,1206
85,2.358129018,562.6095219,3,35279
86,4.650578623,593.8572264,3,1049
87,3.721772616,777.3060718,3,32203
88,3.76663012,1393.202392,4,25576
89,4.151256695,393.6524652,2,319
90,2.188918771,409.7486664,3,55519
91,13.85488928,2138.107161,2,15210
92,3.273341151,443.984031,2,3499
93,19.75096265,2481.385603,2,14479
94,18.38404445,2233.567181,2,4654
95,4.672610857,1158.91369,5,26320
96,6.796299371,529.40733,4,35
97,12.97632235,1956.7337,2,521
98,20.31163945,2056.386979,4,17600
99,6.998814446,1067.373076,4,3324
100,14.46288204,1806.135733,2,55122
101,11.13472066,1397.701335,4,4038
102,2.542296644,808.4305471,4,31927
103,17.22596021,1886.531937,4,19904
104,22.79214163,2294.781131,3,13000
105,3.823689744,826.3438621,5,1444
106,10.77094687,2072.564168,3,2158
107,13.08671185,1436.793746,4,1800
108,14.76468813,1963.332683,3,30
109,9.473091121,1324.164906,2,3682
110,5.197446331,704.9375603,4,41733
111,6.577552683,888.6517305,4,630
112,3.174571918,377.0810282,3,15383
113,17.88002366,1606.489936,3,257
114,13.12190056,1431.409396,4,1012
115,23.34617699,2253.85247,5,20327
116,6.311709178,1353.29384,5,69
117,12.58298231,1701.457566,5,1130
118,7.120096363,1290.737183,3,4210
119,9.344886869,1403.270091,4,155
120,22.37815032,2603.903672,4,37711
121,4.799514433,1256.287854,4,1800
122,10.04672315,980.9935923,2,8028
123,8.156552837,1347.869205,4,31859
124,7.992791229,1127.267848,2,16101
125,7.231032028,1269.836202,3,20449
126,4.627672042,1038.745378,3,161
127,10.05306287,1531.155367,5,29210
128,4.171044392,991.2441024,4,821
129,4.568682641,1244.296865,1,5846
130,6.085030507,1162.332926,3,4476
131,2.730250735,577.1157824,3,5529
132,8.574901206,1442.974877,3,25328
133,9.743201772,1577.208717,5,3736
134,9.482919033,886.9398744,5,610
135,8.447988841,1065.06443,3,34
136,6.365998533,951.886985,3,3199
137,7.251397592,1404.435534,6,1135
138,14.64011644,1925.911722,3,1750
139,11.71637124,1805.011298,4,1076
140,4.13273503,700.7343179,3,1692
141,2.887429547,513.237305,5,43123
142,3.303030246,717.3876564,4,2396
143,5.15825129,1313.492851,5,12914
144,3.237560234,819.4195269,4,15171
145,2.733109234,882.1160656,4,5157
146,3.180102025,724.7803356,2,828
147,15.85983755,1829.270014,4,98
148,11.73724209,1668.199119,3,15671
149,7.006240694,1124.353152,5,2229
150,5.562130367,1316.239744,3,4982
151,14.53027663,1637.201426,3,18575
152,5.905906389,951.8524406,5,15715
153,3.260462654,1248.097652,4,6252
154,18.91276578,2220.255405,4,3834
155,14.25617986,1669.202417,4,19556
156,7.983887266,990.0555076,4,47732
157,5.969967132,967.9819136,5,86926
158,19.95277818,2190.259876,4,69
159,14.85781115,1445.752781,4,15033
160,2.600063739,528.6553088,3,2673
161,11.92299244,1296.481055,3,1879
162,5.972864167,1195.393037,3,358
163,10.87555535,1700.121992,2,32653
164,16.00330155,2120.673828,2,10398
165,12.63074989,1238.421347,5,2081
166,8.4944392,847.110799,3,3410
167,8.044444101,1112.937102,6,377
168,12.07358377,1623.045026,3,1917
169,10.21634248,1479.730181,2,2482
170,15.50354683,2144.735024,3,902
171,13.88004531,1522.289512,3,43714
172,19.48900163,1974.780054,4,3066
173,10.01771765,1261.177198,2,13365
174,7.34059599,939.7181324,4,207
175,12.64742067,1357.062854,4,689
176,8.850426839,1456.887443,2,99
177,3.701557118,937.5863866,4,509
178,2.976033785,830.1193011,2,933
179,5.522376826,737.8564608,4,4991
180,15.64596698,1781.854862,4,1579
181,23.00764441,2464.577489,3,19669
182,17.24924155,2392.203409,4,530
183,13.01107597,1664.19271,4,1469
184,5.104082209,1433.616898,4,324
185,3.521499924,823.4933243,4,10482
186,8.08137067,1468.357421,3,3151
187,1.875430489,590.7765801,3,1919
188,5.587484456,418.6206885,3,241
189,7.007695148,1181.991846,4,673
190,1.408375942,733.4036934,4,2649
191,11.64983735,1719.173387,6,1655
192,2.964559883,1205.956363,2,1598
193,10.25635754,1261.032763,3,6658
194,3.892407013,741.7766988,3,823
195,3.226996711,932.6084359,4,13287
196,15.87685513,1708.614019,5,2394
197,5.874064017,1363.58603,5,9295
198,3.756359276,472.1057019,2,315
199,2.905283283,558.2340556,2,2998
200,1.474810061,815.194738,3,178
201,18.56165869,2007.303617,2,1423
202,12.39088509,2088.48083,4,1935
203,14.17192333,1430.761492,3,90517
204,3.86023041,822.3008694,3,239
205,17.72593456,2059.200998,3,1003
206,3.043063167,617.542543,3,2817
207,5.827112819,758.4775985,3,884
208,4.648958177,894.6733856,5,11245
209,11.96274778,1639.898269,4,19215
210,4.525864256,710.7541633,3,2733
211,8.038308899,1092.226042,3,1204
212,1.416592892,757.0097075,4,62430
213,19.83504645,2301.850721,2,1028
214,15.85002222,2401.406545,4,28666
215,15.94935291,1535.788894,4,44451
216,11.94550648,1536.589816,4,266
217,16.03360405,2153.778421,4,33649
218,21.29342532,2409.195918,2,1994
219,4.95598008,1342.862457,5,1869
220,2.73951266,1046.054674,2,27590
221,4.973046104,1204.479468,3,21792
222,10.28430068,1616.908193,3,8770
223,2.581692044,345.0099528,4,3378
224,6.945736396,1427.088655,5,1748
225,9.999416271,1452.334634,4,1598
226,6.035737465,795.4957358,3,4335
227,9.004964377,1333.894229,6,2299
228,5.071456681,1402.20491,4,12275
229,12.02106494,1447.196935,3,1065
230,5.049303717,1662.510936,4,24438
231,18.17247008,1707.641161,3,47974
232,15.31997698,2181.752793,4,788
233,16.0708543,1575.683555,3,16882
234,7.873371451,1029.489242,3,165
235,23.62866494,2370.184448,2,109
236,25.8634566,3309.919373,3,11116
237,9.405224809,1623.273925,2,1083
238,12.84490034,1146.199921,4,15604
239,16.59325254,2229.268031,4,37
240,20.35456039,2512.36494,4,57344
241,12.00925702,1297.388488,4,39035
242,2.861423443,283.39178,3,27698
243,14.20349453,1947.7853,3,13
244,4.98152586,849.1972541,2,3639
245,23.12150846,2131.359827,3,2950
246,6.307178205,1464.035068,3,15041
247,12.73622643,1381.538548,4,5188
248,12.00466914,1248.626874,3,1317
249,2.243757398,558.3751762,3,4755
250,1.583394702,676.2178659,4,3658
251,14.23487852,1641.938696,2,30733
252,15.28108311,1811.964373,4,2431
253,4.135827839,1066.632555,4,529
254,9.740709475,1514.131966,2,346
255,1.213704886,1189.549671,2,110
256,11.86252419,1114.020282,2,34993
257,2.416685985,1078.291303,4,36260
258,6.73327535,854.2977548,4,671
259,6.549035393,1489.077486,5,41839
260,10.57197066,1649.312808,2,16546
261,3.379756569,905.1959227,2,4
262,8.959047529,684.6318529,5,32603
263,10.23679934,1662.533055,6,607
264,14.96503088,2436.57146,5,1067
265,23.79323993,2677.74041,4,7655
266,11.45675389,1779.309609,2,5981
267,11.04076215,1494.716409,4,655
268,7.425503428,1740.72604,2,16395
269,2.411712843,704.7552669,3,198
270,2.009542213,558.4710883,6,3473
271,9.068119482,1282.279049,2,2992
272,1.926789854,287.8189836,3,2914
273,11.77389421,1129.529441,4,617
274,2.585228303,394.0148722,2,444
275,9.517703088,1302.230824,2,48969
276,9.532523799,970.4682919,4,17307
277,23.103996,2522.88913,5,25764
278,5.104873611,682.9871863,4,671
279,6.877942744,1537.109931,3,3064
280,21.17839683,1961.923965,4,25619
281,1.586331702,676.1747964,3,22547
282,3.778174405,929.2607767,3,545
283,11.58276897,1849.484087,4,398
284,11.62258922,1998.680227,3,217
285,20.78013031,1898.877878,3,32084
286,3.940297464,992.3501481,3,5148
287,11.38099891,994.6354785,4,2526
288,1.473304337,954.0290712,5,30097
289,12.75609778,1775.838153,3,703
290,6.253919786,1297.050577,3,7334
291,18.9537053,1746.405243,3,61045
292,9.640061615,1698.465833,3,117
293,5.201330266,665.4740915,5,29426
294,12.42120946,1886.153328,3,26659
295,8.134438503,958.6989908,4,12478
296,14.86764776,1446.203986,5,11294
297,5.548652108,774.6125757,4,3264
298,18.35541838,1939.811149,3,4926
299,7.62779591,1165.564309,2,473
300,4.439685675,750.8768234,3,20925
301,11.16903388,1292.3206,5,114
302,14.14101821,2335.130986,3,715
303,3.212400569,769.8534863,3,110
304,16.84928353,1729.837284,4,19869
305,3.834727471,649.3891796,4,13768
306,6.198230305,823.0046464,3,604
307,4.216732972,1107.882056,4,20731
308,4.355064781,683.8622599,3,666
309,4.030250374,1301.49424,4,729
310,9.915959247,1079.012505,4,19659
311,9.821728297,1283.463995,3,22569
312,9.183905417,987.653655,5,2019
313,8.892893007,1088.263081,3,1566
314,7.661226872,583.0259559,5,38579
315,12.4767812,1778.733282,5,3232
316,2.462148717,900.4043765,3,566
317,14.09942339,1693.576099,2,659
318,7.272649386,1143.826239,5,1253
319,3.999030359,886.340074,4,23517
320,3.115945151,373.2772664,3,5886
321,13.67931764,1245.328696,4,24628
322,14.6728104,1564.936841,3,582
323,5.953547112,1354.401018,3,34669
324,11.74635394,1971.429689,3,1286
325,5.954024226,623.7865683,4,3032
326,22.8577804,3040.553763,3,312
327,1.407866545,864.7036995,4,15586
328,21.08265979,2042.113893,5,422
329,11.10356439,1973.661316,3,26381
330,9.734064703,1755.645123,4,396
331,12.21754865,1758.735654,3,4270
332,2.423722078,557.0118807,3,3098
333,13.66061487,2205.334092,3,20606
334,8.701581043,1451.201108,2,5978
335,4.844060027,609.0598401,5,340
336,6.485034974,1221.100604,2,926
337,1.14113241,745.0493094,3,1543
338,7.69213424,1220.452161,5,7256
