State,Total households,Has one or more types of computing devices,Has one or more Desktop or laptop,Desktop or laptop with no other type of computing device,Has one or more Smartphone,Smartphone with no other type of computing device,Has one or more Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Has one or more types of computing devices: Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription,Dial-up with no other type of Internet subscription,Broadband of any type,Broadband: Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband: Cable, fiber optic or DSL",Broadband: Satellite Internet service,Without an Internet subscription,"Household Income Less than $20,000:","Household Income Less than $20,000: With dial-up Internet subscription alone","Household Income Less than $20,000: With a broadband Internet subscription","Household Income Less than $20,000: Without an Internet subscription","Household Income Between $20,000 and $74,999:","Household Income Between $20,000 and $74,999: With dial-up Internet subscription alone","Household Income Between $20,000 and $74,999: With a broadband Internet subscription","Household Income Between $20,000 and $74,999: Without an Internet subscription","Household Income $75,000 or more:","Household Income $75,000 or more: With dial-up Internet subscription alone","Household Income $75,000 or more: With a broadband Internet subscription","Household Income $75,000 or more: Without an Internet subscription",Has one or more types of computing devices (Percent),Has one or more Desktop or laptop (Percent),Desktop or laptop with no other type of computing device (Percent),Has one or more Smartphone (Percent),Smartphone with no other type of computing device (Percent),Has one or more Tablet or other portable wireless computer (Percent),Tablet or other portable wireless computer with no other type of computing device (Percent),Has one or more types of computing devices: Other computer (Percent),Other computer with no other type of computing device (Percent),No computer (Percent),With an Internet subscription (Percent),Dial-up with no other type of Internet subscription (Percent),Broadband of any type (Percent),Broadband: Cellular data plan (Percent),Broadband: Cellular data plan with no other type of Internet subscription (Percent),"Broadband: Cable, fiber optic or DSL (Percent)",Broadband: Satellite Internet service (Percent),Without an Internet subscription (Percent),"Household Income Less than $20,000: With dial-up Internet subscription alone (Percent)","Household Income Less than $20,000: With a broadband Internet subscription (Percent)","Household Income Less than $20,000: Without an Internet subscription (Percent)","Household Income Between $20,000 and $74,999: With dial-up Internet subscription alone (Percent)","Household Income Between $20,000 and $74,999: With a broadband Internet subscription (Percent)","Household Income Between $20,000 and $74,999: Without an Internet subscription (Percent)","Household Income $75,000 or more: With dial-up Internet subscription alone (Percent)","Household Income $75,000 or more: With a broadband Internet subscription (Percent)","Household Income $75,000 or more: Without an Internet subscription (Percent)"
AL,2016448,1896102,1436344,44882,1815232,319836,1158925,16750,41190,1200,120346,1767241,4135,1763106,1639736,282256,1377556,177304,249207,350114,566,252875,96673,849139,2140,730831,116168,817195,1429,779400,36366,94,71.2,2.2,90,15.9,57.5,0.8,2,0.1,6,87.6,0.2,87.4,81.3,14,68.3,8.8,12.4,0.2,72.2,27.6,0.3,86.1,13.7,0.2,95.4,4.5
AK,274574,267088,226777,6538,257070,26958,175557,1099,7847,63,7486,252277,871,251406,239052,48444,187858,17777,22297,25823,254,19558,6011,90971,552,79830,10589,157780,65,152018,5697,97.3,82.6,2.4,93.6,9.8,63.9,0.4,2.9,0,2.7,91.9,0.3,91.6,87.1,17.6,68.4,6.5,8.1,1,75.7,23.3,0.6,87.8,11.6,0,96.3,3.6
AZ,2850377,2747303,2378615,73384,2628546,230460,1841625,16937,83197,805,103074,2600610,2536,2598074,2395194,297060,2169440,242526,249767,326145,713,245108,80324,1105934,1464,987000,117470,1418298,359,1365966,51973,96.4,83.4,2.6,92.2,8.1,64.6,0.6,2.9,0,3.6,91.2,0.1,91.1,84,10.4,76.1,8.5,8.8,0.2,75.2,24.6,0.1,89.2,10.6,0,96.3,3.7
AR,1216207,1143531,869727,30002,1093522,200238,672294,8126,22189,192,72676,1057473,1550,1055923,988480,171110,815531,97722,158734,216808,543,151057,65208,553651,705,478720,74226,445748,302,426146,19300,94,71.5,2.5,89.9,16.5,55.3,0.7,1.8,0,6,86.9,0.1,86.8,81.3,14.1,67.1,8,13.1,0.3,69.7,30.1,0.1,86.5,13.4,0.1,95.6,4.3
CA,13550586,13141047,11424134,268049,12670765,1060002,9134459,73629,388300,3757,409539,12674005,13840,12660165,12035392,1412210,10729302,1112426,876581,1443863,2539,1150685,290639,4207714,7005,3821089,379620,7899009,4296,7688391,206322,97,84.3,2,93.5,7.8,67.4,0.5,2.9,0,3,93.5,0.1,93.4,88.8,10.4,79.2,8.2,6.5,0.2,79.7,20.1,0.2,90.8,9,0.1,97.3,2.6
CO,2384584,2320293,2083404,53353,2231288,147702,1622196,11651,64759,976,64291,2225642,3496,2222146,2090858,205137,1908255,182213,158942,220782,843,172911,47028,784360,1286,710090,72984,1379442,1367,1339145,38930,97.3,87.4,2.2,93.6,6.2,68,0.5,2.7,0,2.7,93.3,0.1,93.2,87.7,8.6,80,7.6,6.7,0.4,78.3,21.3,0.2,90.5,9.3,0.1,97.1,2.8
CT,1433635,1370872,1177245,49088,1290350,110996,935139,11802,34020,538,62763,1321503,1771,1319732,1223079,143001,1149082,50631,112132,154389,105,115636,38648,457242,1196,402819,53227,822004,470,801277,20257,95.6,82.1,3.4,90,7.7,65.2,0.8,2.4,0,4.4,92.2,0.1,92.1,85.3,10,80.2,3.5,7.8,0.1,74.9,25,0.3,88.1,11.6,0.1,97.5,2.5
DE,402334,387046,335092,11413,367464,30135,267107,2807,10521,22,15288,372956,669,372287,347373,38672,324861,19584,29378,38833,184,28597,10052,145581,141,131830,13610,217920,344,211860,5716,96.2,83.3,2.8,91.3,7.5,66.4,0.7,2.6,0,3.8,92.7,0.2,92.5,86.3,9.6,80.7,4.9,7.3,0.5,73.6,25.9,0.1,90.6,9.3,0.2,97.2,2.6
DC,326970,316616,286561,5591,307148,18994,205395,1055,9257,0,10354,303989,459,303530,281869,28023,269726,12044,22981,41188,0,31883,9305,85345,235,75748,9362,200437,224,195899,4314,96.8,87.6,1.7,93.9,5.8,62.8,0.3,2.8,0,3.2,93,0.1,92.8,86.2,8.6,82.5,3.7,7,0,77.4,22.6,0.3,88.8,11,0.1,97.7,2.2
FL,8826394,8549871,7238183,228850,8159305,795230,5722968,59507,239556,3474,276523,8098873,9359,8089514,7636689,943471,6873766,513292,727521,1108388,2116,862386,243886,3611104,5326,3270976,334802,4106902,1917,3956152,148833,96.9,82,2.6,92.4,9,64.8,0.7,2.7,0,3.1,91.8,0.1,91.7,86.5,10.7,77.9,5.8,8.2,0.2,77.8,22,0.1,90.6,9.3,0,96.3,3.6
