state,total households,cellular data plan (total),"broadband such as cable, fiber optic, or dsl (total)",has one or more tablet (percent),"broadband such as cable, fiber optic, or dsl (percent)","less than $20,000 with broadband internet (percent)","$20,000 to $74,999 with broadband internet (percent)","$75,000 or more with broadband internet (percent)"
AL,2016448,1639736,1377556,57.5,68.3,72.2,86.1,95.4
AK,274574,239052,187858,63.9,68.4,75.7,87.8,96.3
AZ,2850377,2395194,2169440,64.6,76.1,75.2,89.2,96.3
AR,1216207,988480,815531,55.3,67.1,69.7,86.5,95.6
CA,13550586,12035392,10729302,67.4,79.2,79.7,90.8,97.3
CO,2384584,2090858,1908255,68.0,80.0,78.3,90.5,97.1
CT,1433635,1223079,1149082,65.2,80.2,74.9,88.1,97.5
DE,402334,347373,324861,66.4,80.7,73.6,90.6,97.2
DC,326970,281869,269726,62.8,82.5,77.4,88.8,97.7
FL,8826394,7636689,6873766,64.8,77.9,77.8,90.6,96.3
GA,4092467,3519943,3137631,65.3,76.7,75.6,89.2,96.8
HI,494827,423956,388767,67.6,78.6,75.3,88.9,95.3
ID,717151,618008,526337,64.5,73.4,75.8,90.6,96.9
IL,5056360,4308651,3789434,64.0,74.9,75.6,87.8,96.5
IN,2726489,2298774,1951983,60.7,71.6,75.4,88.3,95.9
IA,1330995,1118475,962595,60.7,72.3,71.6,87.5,95.9
KS,1175294,992943,875033,61.7,74.5,74.4,89.3,96.5
KY,1828680,1522057,1312740,60.5,71.8,72.8,88.7,96.3
LA,1816902,1469474,1191652,56.6,65.6,66.9,84.6,95.4
ME,605338,500017,463448,62.8,76.6,74.2,88.5,96.9
MD,2375984,2055740,1905988,68.9,80.2,75.1,88.8,96.9
MA,2797776,2431572,2295043,66.5,82.0,76.2,90.1,97.6
MI,4089794,3456962,2998518,62.1,73.3,76.9,88.3,96.6
MN,2322190,2011146,1796466,65.3,77.4,75.6,89.0,97.0
MS,1148340,900910,708486,53.2,61.7,67.2,84.0,94.2
MO,2521832,2120141,1784647,60.4,70.8,73.0,87.9,96.2
MT,464072,371785,322983,58.7,69.6,72.0,88.3,95.0
NE,803157,668337,605763,63.9,75.4,73.2,87.9,96.5
NV,1198356,1041654,916496,64.0,76.5,79.0,89.4,96.4
NH,557220,471984,469337,66.5,84.2,80.5,91.2,97.5
NJ,3516978,3105778,2851134,67.7,81.1,77.1,89.0,97.6
NM,848218,666486,585169,57.4,69.0,71.4,85.1,94.6
NY,7774308,6537149,5985223,64.0,77.0,75.3,87.4,96.4
NC,4299266,3649648,3292124,62.9,76.6,72.6,88.9,96.6
ND,331481,275642,255369,62.4,77.0,75.2,87.3,94.8
OH,4878206,4096854,3717760,62.0,76.2,75.7,88.7,96.6
OK,1573180,1299330,1069054,58.4,68.0,73.8,87.5,95.6
OR,1726340,1496539,1364542,65.7,79.0,77.3,90.8,97.1
PA,5294065,4421399,4036964,62.9,76.3,73.5,87.1,96.6
RI,446688,382572,351861,63.6,78.8,70.9,90.6,96.7
SC,2136080,1778905,1554690,61.8,72.8,70.0,88.2,96.3
SD,368300,299475,279171,59.9,75.8,68.8,89.7,95.7
TN,2846684,2370245,2098767,62.0,73.7,72.1,88.3,96.3
TX,11087708,9570758,8249131,63.9,74.4,75.6,89.9,96.7
UT,1129660,1017026,922253,72.2,81.6,80.9,90.3,97.0
VT,277090,217295,214876,61.9,77.5,74.4,88.6,95.9
VA,3380607,2895598,2572271,65.9,76.1,72.4,87.5,96.4
WA,3079953,2691786,2487346,67.7,80.8,79.6,90.4,97.5
WV,736341,567088,516404,56.6,70.1,70.9,84.9,96.0
WI,2491121,2093356,1852370,61.4,74.4,73.8,88.3,96.6
WY,243321,196933,170312,62.3,70.0,75.0,88.5,94.2
PR,1289311,943947,667893,41.0,51.8,69.7,87.7,95.2
