,0
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,0
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,0
304,1
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,1
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,0
359,0
360,0
361,1
362,0
363,1
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,0
377,1
378,1
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,1
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,1
418,1
419,0
420,0
421,1
422,0
423,0
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,0
458,1
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,1
485,0
486,0
487,0
488,1
489,0
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,1
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,0
584,1
585,1
586,0
587,0
588,1
589,0
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,1
600,1
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,1
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,1
619,0
620,1
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,0
645,0
646,0
647,0
648,1
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,0
659,0
660,1
661,1
662,0
663,1
664,1
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,0
673,0
674,1
675,1
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,0
684,1
685,0
686,0
687,1
688,1
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,0
698,1
699,0
700,1
701,1
702,0
703,1
704,1
705,1
706,0
707,1
708,0
709,1
710,0
711,0
712,1
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,1
721,1
722,1
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,0
748,1
749,1
750,0
751,1
752,1
753,0
754,0
755,1
756,0
757,1
758,1
759,0
760,0
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,0
779,1
780,1
781,0
782,0
783,1
784,0
785,0
786,1
787,0
788,0
789,0
790,1
791,1
792,0
793,0
794,0
795,0
796,0
797,1
798,1
799,1
800,0
801,0
802,0
803,1
804,0
805,1
806,0
807,1
808,0
809,0
810,1
811,0
812,0
813,1
814,1
815,1
816,0
817,1
818,0
819,1
820,0
821,0
822,0
823,1
824,0
825,1
826,0
827,0
828,0
829,0
830,0
831,1
832,1
833,0
834,0
835,1
836,1
837,0
838,1
839,1
840,1
841,1
842,1
843,0
844,0
845,1
846,0
847,0
848,1
849,1
850,1
851,0
852,1
853,0
854,0
855,0
856,0
857,0
858,1
859,1
860,1
861,0
862,1
863,1
864,1
865,0
866,1
867,0
868,0
869,0
870,1
871,0
872,1
873,0
874,0
875,1
876,0
877,0
878,1
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,0
887,1
888,1
889,0
890,0
891,1
892,0
893,1
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,1
902,1
903,1
904,1
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,1
919,1
920,1
921,1
922,1
923,0
924,1
925,1
926,0
927,1
928,1
929,1
930,0
931,1
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,0
940,0
941,1
942,1
943,0
944,1
945,1
946,1
947,1
948,0
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,0
960,0
961,1
962,1
963,0
964,1
965,0
966,0
967,0
968,0
969,1
970,0
971,0
972,1
973,1
974,0
975,1
976,0
977,1
978,1
979,1
980,1
981,0
982,1
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,0
991,1
992,0
993,1
994,0
995,0
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,1
1010,0
1011,1
1012,0
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,1
1025,1
1026,1
1027,1
1028,0
1029,1
1030,0
1031,1
1032,1
1033,1
1034,1
1035,0
1036,0
1037,1
1038,1
1039,0
1040,0
1041,1
1042,1
1043,1
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
1060,0
